iter	Passed	Remaining
613	176572	2699200
614	176856	2698851
615	177182	2699156
616	177472	2698899
617	177769	2698756
618	178065	2698605
619	178388	2698852
620	178691	2698782
621	178935	2697837
622	179198	2697175
623	179479	2696791
624	179789	2696835
625	180032	2695892
626	180384	2696559
627	180721	2697006
628	181016	2696823
629	181316	2696715
630	181571	2695945
631	181896	2696219
632	182199	2696144
633	182503	2696095
634	182797	2695903
635	183066	2695332
636	183360	2695139
637	183720	2695904
638	183992	2695394
639	184249	2694643
640	184510	2693973
641	184842	2694324
642	185077	2693267
643	185384	2693254
644	185634	2692426
645	185864	2691295
646	186170	2691267
647	186452	2690907
648	186710	2690181
649	187018	2690190
650	187293	2689717
651	187563	2689178
652	187884	2689360
653	188206	2689563
654	188448	2688624
655	188709	2687955
656	188969	2687281
657	189228	2686579
658	189558	2686899
659	189806	2686044
660	190103	2685897
661	190399	2685723
662	190688	2685460
663	190991	2685389
664	191281	2685137
665	191529	2684291
666	191892	2685049
667	192199	2685038
668	192542	2685518
669	192768	2684379
670	193059	2684135
671	193374	2684228
672	193702	2684496
673	194014	2684540
674	194267	2683775
675	194627	2684471
676	194903	2684030
677	195250	2684544
678	195490	2683605
679	195773	2683253
680	196072	2683119
681	196356	2682767
682	196659	2682691
683	196957	2682537
684	197242	2682207
685	197476	2681193
686	197715	2680244
687	198029	2680304
688	198360	2680599
689	198623	2679975
690	198966	2680427
691	199315	2680972
692	199611	2680786
693	199895	2680436
694	200203	2680416
695	200438	2679419
696	200708	2678901
697	201070	2679598
698	201372	2679490
699	201680	2679470
700	202013	2679781
701	202341	2680012
702	202657	2680091
703	202952	2679898
704	203192	2678974
705	203470	2678542
706	203784	2678603
707	204049	2678000
708	204306	2677314
709	204605	2677167
710	204909	2677083
711	205223	2677130
712	205489	2676554
713	205760	2676033
714	206144	2676999
715	206449	2676927
716	206733	2676572
717	206966	2675570
718	207264	2675416
719	207549	2675076
720	207856	2675035
721	208165	2675012
722	208412	2674198
723	208765	2674736
724	209023	2674061
725	209290	2673499
726	209544	2672777
727	209786	2671899
728	210095	2671867
729	210327	2670877
730	210631	2670790
731	210960	2671011
732	211195	2670056
733	211504	2670031
734	211780	2669582
735	212146	2670274
736	212449	2670174
737	212769	2670291
738	213102	2670551
739	213410	2670514
740	213697	2670203
741	213954	2669535
742	214198	2668688
743	214456	2668017
744	214739	2667668
745	215101	2668295
746	215385	2667950
747	215715	2668186
748	216024	2668152
749	216352	2668344
750	216611	2667701
751	216867	2667007
752	217157	2666742
753	217393	2665814
754	217704	2665794
755	218022	2665875
756	218324	2665756
757	218614	2665482
758	218914	2665332
759	219210	2665132
760	219494	2664796
761	219785	2664544
762	220126	2664889
763	220453	2665062
764	220718	2664492
765	221026	2664434
766	221376	2664887
767	221697	2664991
768	222030	2665227
769	222338	2665172
770	222589	2664434
771	222866	2664008
772	223220	2664493
773	223493	2664024
774	223838	2664401
775	224138	2664240
776	224429	2663981
777	224710	2663594
778	224999	2663314
779	225254	2662629
780	225507	2661918
781	225754	2661127
782	226035	2660753
783	226343	2660690
784	226595	2659971
785	226893	2659793
786	227239	2660179
787	227495	2659505
788	227736	2658660
789	228096	2659200
790	228407	2659169
791	228687	2658785
792	228935	2658019
793	229222	2657706
794	229483	2657106
795	229868	2657922
796	230101	2656989
797	230383	2656632
798	230722	2656918
799	231078	2657407
800	231369	2657141
801	231705	2657386
802	231977	2656903
803	232279	2656768
804	232558	2656362
805	232856	2656187
806	233150	2655956
807	233384	2655038
808	233749	2655616
809	234034	2655280
810	234270	2654393
811	234560	2654112
812	234838	2653701
813	235152	2653700
814	235509	2654179
815	235753	2653378
816	236033	2652992
817	236333	2652829
818	236618	2652497
819	236964	2652849
820	237211	2652092
821	237527	2652098
822	237779	2651405
823	238104	2651514
824	238373	2651001
825	238646	2650539
826	238894	2649792
827	239252	2650274
828	239547	2650052
829	239847	2649885
830	240123	2649443
831	240469	2649791
832	240816	2650139
833	241112	2649928
834	241409	2649723
835	241716	2649631
836	242004	2649324
837	242280	2648893
838	242607	2649017
839	242965	2649480
840	243237	2649003
841	243582	2649315
842	243942	2649801
843	244249	2649706
844	244563	2649677
845	244870	2649576
846	245173	2649437
847	245467	2649197
848	245769	2649037
849	246070	2648875
850	246385	2648866
851	246672	2648548
852	246899	2647586
853	247211	2647540
854	247576	2648059
855	247845	2647544
856	248120	2647102
857	248454	2647285
858	248713	2646667
859	248973	2646064
860	249215	2645271
861	249544	2645404
862	249785	2644598
863	250142	2645026
864	250499	2645445
865	250783	2645098
866	251063	2644707
867	251389	2644804
868	251696	2644696
869	251964	2644183
870	252249	2643842
871	252609	2644293
872	252931	2644334
873	253184	2643661
874	253461	2643241
875	253795	2643418
876	254080	2643072
877	254382	2642909
878	254670	2642606
879	254999	2642723
880	255333	2642893
881	255680	2643187
882	255945	2642647
883	256251	2642518
884	256601	2642853
885	256883	2642474
886	257193	2642395
887	257547	2642761
888	257791	2641995
889	258052	2641413
890	258339	2641097
891	258664	2641165
892	258964	2640975
893	259243	2640575
894	259530	2640254
895	259834	2640106
896	260118	2639749
897	260475	2640141
898	260796	2640170
899	261114	2640160
900	261375	2639569
901	261607	2638693
902	261914	2638583
903	262147	2637713
904	262397	2637019
905	262695	2636810
906	262969	2636360
907	263268	2636166
908	263517	2635460
909	263741	2634512
910	264021	2634125
911	264287	2633604
912	264585	2633390
913	264872	2633073
914	265191	2633077
915	265489	2632862
916	265736	2632154
917	266045	2632051
918	266290	2631324
919	266553	2630768
920	266809	2630144
921	267080	2629667
922	267403	2629704
923	267742	2629904
924	268085	2630132
925	268317	2629281
926	268679	2629701
927	268976	2629479
928	269255	2629083
929	269535	2628690
930	269858	2628730
931	270176	2628712
932	270485	2628608
933	270805	2628614
934	271171	2629053
935	271490	2629046
936	271790	2628854
937	272139	2629134
938	272500	2629529
939	272803	2629358
940	273079	2628936
941	273405	2628991
942	273684	2628591
943	273938	2627953
944	274297	2628321
945	274570	2627865
946	274846	2627440
947	275125	2627046
948	275372	2626342
949	275627	2625710
950	275838	2624667
951	276104	2624148
952	276394	2623859
953	276747	2624167
954	277045	2623952
955	277375	2624046
956	277641	2623527
957	277906	2622995
958	278138	2622161
959	278401	2621614
960	278746	2621845
961	279061	2621788
962	279339	2621378
963	279617	2620979
964	279922	2620833
965	280202	2620442
966	280561	2620803
967	280867	2620653
968	281136	2620165
969	281432	2619930
970	281665	2619109
971	281936	2618643
972	282248	2618559
973	282493	2617849
974	282781	2617542
975	283093	2617453
976	283444	2617723
977	283747	2617553
978	284043	2617322
979	284368	2617353
